day,hour,overallAQI,status
7,11,129,Unhealthy
7,12,89,Moderate
7,13,58,Moderate
7,14,122,Unhealthy
7,15,55,Moderate
7,16,50,Good
7,17,102,Unhealthy
7,18,73,Moderate
7,19,114,Unhealthy
7,20,125,Unhealthy
7,21,130,Unhealthy
7,22,65,Moderate
7,23,61,Moderate
8,0,89,Moderate
8,1,75,Moderate
8,2,91,Moderate
8,3,87,Moderate
8,4,97,Moderate
8,5,53,Moderate
8,6,84,Moderate
8,7,96,Moderate
8,8,80,Moderate
8,9,73,Moderate
8,10,80,Moderate
8,11,86,Moderate
8,12,101,Unhealthy
8,13,115,Unhealthy
8,14,53,Moderate
8,15,128,Unhealthy
8,16,119,Unhealthy
8,17,104,Unhealthy
8,18,84,Moderate
8,19,125,Unhealthy
8,20,58,Moderate
8,21,75,Moderate
8,22,68,Moderate
8,23,67,Moderate
9,0,90,Moderate
9,1,69,Moderate
9,2,104,Unhealthy
9,3,76,Moderate
9,4,122,Unhealthy
9,5,93,Moderate
9,6,119,Unhealthy
9,7,53,Moderate
9,8,67,Moderate
9,9,64,Moderate
9,10,50,Good
9,11,100,Moderate
9,12,119,Unhealthy
9,13,63,Moderate
9,14,129,Unhealthy
9,15,124,Unhealthy
9,16,51,Moderate
9,17,105,Unhealthy
9,18,123,Unhealthy
9,19,51,Moderate
9,20,98,Moderate
9,21,121,Unhealthy
9,22,127,Unhealthy
9,23,81,Moderate
10,0,52,Moderate
10,1,65,Moderate
10,2,88,Moderate
10,3,73,Moderate
10,4,121,Unhealthy
10,5,51,Moderate
10,6,63,Moderate
10,7,100,Moderate
10,8,100,Moderate
10,9,117,Unhealthy
10,10,92,Moderate
10,11,87,Moderate
10,12,112,Unhealthy
10,13,81,Moderate
10,14,61,Moderate
10,15,53,Moderate
10,16,77,Moderate
10,17,102,Unhealthy
10,18,96,Moderate
10,19,63,Moderate
10,20,61,Moderate
10,21,80,Moderate
10,22,50,Good
10,23,100,Moderate
11,0,55,Moderate
11,1,107,Unhealthy
11,2,63,Moderate
11,3,96,Moderate
11,4,86,Moderate
11,5,108,Unhealthy
11,6,83,Moderate
11,7,102,Unhealthy
11,8,93,Moderate
11,9,68,Moderate
11,10,101,Unhealthy
11,11,78,Moderate
11,12,74,Moderate
11,13,122,Unhealthy
11,14,83,Moderate
11,15,92,Moderate
11,16,101,Unhealthy
11,17,101,Unhealthy
11,18,101,Unhealthy
11,19,55,Moderate
11,20,73,Moderate
11,21,52,Moderate
11,22,98,Moderate
11,23,72,Moderate
12,0,117,Unhealthy
12,1,113,Unhealthy
12,2,115,Unhealthy
12,3,79,Moderate
12,4,121,Unhealthy
12,5,76,Moderate
12,6,89,Moderate
12,7,80,Moderate
12,8,78,Moderate
12,9,99,Moderate
12,10,74,Moderate
12,11,70,Moderate
12,12,83,Moderate
12,13,97,Moderate
12,14,59,Moderate
12,15,63,Moderate
12,16,116,Unhealthy
12,17,92,Moderate
12,18,80,Moderate
12,19,64,Moderate
12,20,65,Moderate
12,21,62,Moderate
12,22,107,Unhealthy
12,23,117,Unhealthy
13,0,56,Moderate
13,1,107,Unhealthy
13,2,119,Unhealthy
13,3,103,Unhealthy
13,4,50,Good
13,5,93,Moderate
13,6,99,Moderate
13,7,120,Unhealthy
13,8,84,Moderate
13,9,96,Moderate
13,10,92,Moderate
13,11,55,Moderate
13,12,85,Moderate
13,13,69,Moderate
13,14,65,Moderate
13,15,71,Moderate
13,16,58,Moderate
13,17,128,Unhealthy
13,18,109,Unhealthy
13,19,113,Unhealthy
13,20,79,Moderate
13,21,78,Moderate
13,22,67,Moderate
13,23,50,Good
14,0,69,Moderate
14,1,107,Unhealthy
14,2,68,Moderate
14,3,69,Moderate
14,4,62,Moderate
14,5,86,Moderate
14,6,110,Unhealthy
14,7,92,Moderate
14,8,61,Moderate
14,9,111,Unhealthy
14,10,128,Unhealthy
14,11,85,Moderate
14,12,105,Unhealthy
14,13,92,Moderate
14,14,85,Moderate
14,15,106,Unhealthy
14,16,74,Moderate
14,17,66,Moderate
14,18,122,Unhealthy
14,19,128,Unhealthy
14,20,67,Moderate
14,21,104,Unhealthy
14,22,114,Unhealthy
14,23,50,Good
15,0,61,Moderate
15,1,109,Unhealthy
15,2,104,Unhealthy
15,3,60,Moderate
15,4,69,Moderate
15,5,91,Moderate
15,6,102,Unhealthy
15,7,55,Moderate
15,8,99,Moderate
15,9,129,Unhealthy
15,10,50,Good
15,11,111,Unhealthy
15,12,130,Unhealthy
15,13,104,Unhealthy
15,14,112,Unhealthy
15,15,120,Unhealthy
15,16,106,Unhealthy
15,17,53,Moderate
15,18,63,Moderate
15,19,92,Moderate
15,20,110,Unhealthy
15,21,93,Moderate
15,22,70,Moderate
15,23,119,Unhealthy
16,0,58,Moderate
16,1,130,Unhealthy
16,2,57,Moderate
16,3,89,Moderate
16,4,123,Unhealthy
16,5,72,Moderate
16,6,113,Unhealthy
16,7,71,Moderate
16,8,106,Unhealthy
16,9,60,Moderate
16,10,77,Moderate
16,11,102,Unhealthy
16,12,106,Unhealthy
16,13,96,Moderate
16,14,69,Moderate
16,15,68,Moderate
16,16,81,Moderate
16,17,109,Unhealthy
16,18,127,Unhealthy
16,19,53,Moderate
16,20,77,Moderate
16,21,122,Unhealthy
16,22,91,Moderate
16,23,73,Moderate
17,0,57,Moderate
17,1,60,Moderate
17,2,116,Unhealthy
17,3,122,Unhealthy
17,4,119,Unhealthy
17,5,97,Moderate
17,6,83,Moderate
17,7,66,Moderate
17,8,127,Unhealthy
17,9,88,Moderate
17,10,60,Moderate
17,11,104,Unhealthy
17,12,55,Moderate
17,13,119,Unhealthy
17,14,77,Moderate
17,15,69,Moderate
17,16,105,Unhealthy
17,17,93,Moderate
17,18,99,Moderate
17,19,50,Good
17,20,50,Good
17,21,53,Moderate
17,22,68,Moderate
17,23,67,Moderate
18,0,55,Moderate
18,1,100,Moderate
18,2,53,Moderate
18,3,107,Unhealthy
18,4,109,Unhealthy
18,5,105,Unhealthy
18,6,126,Unhealthy
18,7,59,Moderate
18,8,59,Moderate
18,9,73,Moderate
18,10,60,Moderate
18,11,72,Moderate
18,12,120,Unhealthy
18,13,68,Moderate
18,14,122,Unhealthy
18,15,70,Moderate
18,16,125,Unhealthy
18,17,74,Moderate
18,18,67,Moderate
18,19,54,Moderate
18,20,84,Moderate
18,21,77,Moderate
18,22,75,Moderate
18,23,68,Moderate
19,0,75,Moderate
19,1,60,Moderate
19,2,98,Moderate
19,3,103,Unhealthy
19,4,62,Moderate
19,5,72,Moderate
19,6,67,Moderate
19,7,116,Unhealthy
19,8,68,Moderate
19,9,90,Moderate
19,10,88,Moderate
19,11,66,Moderate
19,12,72,Moderate
19,13,130,Unhealthy
19,14,130,Unhealthy
19,15,63,Moderate
19,16,106,Unhealthy
19,17,56,Moderate
19,18,73,Moderate
19,19,58,Moderate
19,20,70,Moderate
19,21,77,Moderate
19,22,82,Moderate
19,23,91,Moderate
20,0,85,Moderate
20,1,81,Moderate
20,2,94,Moderate
20,3,103,Unhealthy
20,4,128,Unhealthy
20,5,53,Moderate
20,6,96,Moderate
20,7,57,Moderate
20,8,92,Moderate
20,9,54,Moderate
20,10,111,Unhealthy
20,11,99,Moderate
20,12,67,Moderate
20,13,93,Moderate
20,14,62,Moderate
20,15,53,Moderate
20,16,88,Moderate
20,17,109,Unhealthy
20,18,93,Moderate
20,19,107,Unhealthy
20,20,92,Moderate
20,21,52,Moderate
20,22,67,Moderate
20,23,50,Good
21,0,83,Moderate
21,1,56,Moderate
21,2,70,Moderate
21,3,68,Moderate
21,4,99,Moderate
21,5,56,Moderate
21,6,124,Unhealthy
21,7,66,Moderate
21,8,130,Unhealthy
21,9,77,Moderate
21,10,89,Moderate
21,11,55,Moderate
21,12,117,Unhealthy
21,13,110,Unhealthy
21,14,55,Moderate
21,15,129,Unhealthy
21,16,116,Unhealthy
21,17,121,Unhealthy
21,18,69,Moderate
21,19,85,Moderate
21,20,83,Moderate
21,21,128,Unhealthy
21,22,87,Moderate
21,23,81,Moderate
22,0,113,Unhealthy
22,1,65,Moderate
22,2,80,Moderate
22,3,97,Moderate
22,4,57,Moderate
22,5,73,Moderate
22,6,103,Unhealthy
22,7,75,Moderate
22,8,111,Unhealthy
22,9,107,Unhealthy
22,10,65,Moderate
22,11,102,Unhealthy
22,12,68,Moderate
22,13,77,Moderate
22,14,60,Moderate
22,15,83,Moderate
22,16,66,Moderate
22,17,80,Moderate
22,18,67,Moderate
22,19,123,Unhealthy
22,20,69,Moderate
22,21,84,Moderate
22,22,79,Moderate
22,23,129,Unhealthy
23,0,130,Unhealthy
23,1,127,Unhealthy
23,2,91,Moderate
23,3,59,Moderate
23,4,115,Unhealthy
23,5,95,Moderate
23,6,92,Moderate
23,7,68,Moderate
23,8,58,Moderate
23,9,75,Moderate
23,10,66,Moderate
23,11,52,Moderate
23,12,51,Moderate
23,13,119,Unhealthy
23,14,119,Unhealthy
23,15,61,Moderate
23,16,111,Unhealthy
23,17,109,Unhealthy
23,18,81,Moderate
23,19,124,Unhealthy
23,20,87,Moderate
23,21,99,Moderate
23,22,109,Unhealthy
23,23,120,Unhealthy
24,0,64,Moderate
24,1,60,Moderate
24,2,109,Unhealthy
24,3,52,Moderate
24,4,77,Moderate
24,5,116,Unhealthy
24,6,63,Moderate
24,7,67,Moderate
24,8,127,Unhealthy
24,9,100,Moderate
24,10,72,Moderate
24,11,113,Unhealthy
24,12,108,Unhealthy
24,13,120,Unhealthy
24,14,57,Moderate
24,15,64,Moderate
24,16,77,Moderate
24,17,122,Unhealthy
24,18,94,Moderate
24,19,109,Unhealthy
24,20,83,Moderate
24,21,62,Moderate
24,22,90,Moderate
24,23,54,Moderate
25,0,130,Unhealthy
25,1,102,Unhealthy
25,2,89,Moderate
25,3,73,Moderate
25,4,107,Unhealthy
25,5,59,Moderate
25,6,94,Moderate
25,7,81,Moderate
25,8,80,Moderate
25,9,73,Moderate
25,10,57,Moderate
25,11,100,Moderate
25,12,124,Unhealthy
25,13,71,Moderate
25,14,90,Moderate
25,15,130,Unhealthy
25,16,127,Unhealthy
25,17,109,Unhealthy
25,18,78,Moderate
25,19,50,Good
25,20,120,Unhealthy
25,21,100,Moderate
25,22,108,Unhealthy
25,23,55,Moderate
26,0,116,Unhealthy
26,1,100,Moderate
26,2,55,Moderate
26,3,57,Moderate
26,4,58,Moderate
26,5,90,Moderate
26,6,106,Unhealthy
26,7,64,Moderate
26,8,59,Moderate
26,9,128,Unhealthy
26,10,55,Moderate
26,11,92,Moderate
26,12,114,Unhealthy
26,13,87,Moderate
26,14,98,Moderate
26,15,125,Unhealthy
26,16,126,Unhealthy
26,17,90,Moderate
26,18,127,Unhealthy
26,19,87,Moderate
26,20,81,Moderate
26,21,57,Moderate
26,22,87,Moderate
26,23,56,Moderate
27,0,79,Moderate
27,1,127,Unhealthy
27,2,74,Moderate
27,3,92,Moderate
27,4,72,Moderate
27,5,78,Moderate
27,6,96,Moderate
27,7,115,Unhealthy
27,8,92,Moderate
27,9,113,Unhealthy
27,10,68,Moderate
27,11,60,Moderate
27,12,52,Moderate
27,13,87,Moderate
27,14,89,Moderate
27,15,108,Unhealthy
27,16,58,Moderate
27,17,111,Unhealthy
27,18,114,Unhealthy
27,19,102,Unhealthy
27,20,89,Moderate
27,21,93,Moderate
27,22,109,Unhealthy
27,23,126,Unhealthy
28,0,124,Unhealthy
28,1,126,Unhealthy
28,2,106,Unhealthy
28,3,126,Unhealthy
28,4,65,Moderate
28,5,113,Unhealthy
28,6,128,Unhealthy
28,7,50,Good
28,8,123,Unhealthy
28,9,120,Unhealthy
28,10,98,Moderate
28,11,94,Moderate
28,12,111,Unhealthy
28,13,86,Moderate
28,14,68,Moderate
28,15,69,Moderate
28,16,90,Moderate
28,17,64,Moderate
28,18,59,Moderate
28,19,80,Moderate
28,20,94,Moderate
28,21,101,Unhealthy
28,22,93,Moderate
28,23,62,Moderate
29,0,101,Unhealthy
29,1,121,Unhealthy
29,2,128,Unhealthy
29,3,59,Moderate
29,4,74,Moderate
29,5,83,Moderate
29,6,119,Unhealthy
29,7,113,Unhealthy
29,8,99,Moderate
29,9,84,Moderate
29,10,88,Moderate
29,11,60,Moderate
29,12,66,Moderate
29,13,95,Moderate
29,14,59,Moderate
29,15,80,Moderate
29,16,59,Moderate
29,17,98,Moderate
29,18,85,Moderate
29,19,103,Unhealthy
29,20,95,Moderate
29,21,61,Moderate
29,22,56,Moderate
29,23,67,Moderate
30,0,68,Moderate
30,1,61,Moderate
30,2,99,Moderate
30,3,59,Moderate
30,4,61,Moderate
30,5,57,Moderate
30,6,77,Moderate
30,7,125,Unhealthy
30,8,103,Unhealthy
30,9,73,Moderate
30,10,91,Moderate
30,11,72,Moderate
30,12,51,Moderate
30,13,77,Moderate
30,14,94,Moderate
30,15,91,Moderate
30,16,100,Moderate
30,17,78,Moderate
30,18,55,Moderate
30,19,124,Unhealthy
30,20,125,Unhealthy
30,21,112,Unhealthy
30,22,57,Moderate
30,23,110,Unhealthy
31,0,62,Moderate
31,1,56,Moderate
31,2,130,Unhealthy
31,3,110,Unhealthy
31,4,69,Moderate
31,5,104,Unhealthy
31,6,112,Unhealthy
31,7,119,Unhealthy
31,8,89,Moderate
31,9,68,Moderate
31,10,83,Moderate
31,11,96,Moderate
31,12,99,Moderate
31,13,60,Moderate
31,14,79,Moderate
31,15,95,Moderate
31,16,110,Unhealthy
31,17,118,Unhealthy
31,18,116,Unhealthy
31,19,116,Unhealthy
31,20,78,Moderate
31,21,106,Unhealthy
31,22,103,Unhealthy
31,23,54,Moderate
32,0,82,Moderate
32,1,126,Unhealthy
32,2,57,Moderate
32,3,78,Moderate
32,4,87,Moderate
32,5,92,Moderate
32,6,128,Unhealthy
32,7,51,Moderate
32,8,77,Moderate
32,9,76,Moderate
32,10,94,Moderate
32,11,86,Moderate
32,12,79,Moderate
32,13,125,Unhealthy
32,14,123,Unhealthy
32,15,70,Moderate
32,16,126,Unhealthy
32,17,109,Unhealthy
32,18,83,Moderate
32,19,124,Unhealthy
32,20,51,Moderate
32,21,70,Moderate
32,22,95,Moderate
32,23,63,Moderate
33,0,112,Unhealthy
33,1,87,Moderate
33,2,80,Moderate
33,3,66,Moderate
33,4,71,Moderate
33,5,62,Moderate
33,6,64,Moderate
33,7,126,Unhealthy
33,8,85,Moderate
33,9,69,Moderate
33,10,61,Moderate
33,11,105,Unhealthy
33,12,54,Moderate
33,13,73,Moderate
33,14,82,Moderate
33,15,113,Unhealthy
33,16,79,Moderate
33,17,91,Moderate
33,18,74,Moderate
33,19,86,Moderate
33,20,125,Unhealthy
33,21,106,Unhealthy
33,22,116,Unhealthy
33,23,82,Moderate
34,0,125,Unhealthy
34,1,89,Moderate
34,2,59,Moderate
34,3,53,Moderate
34,4,85,Moderate
34,5,54,Moderate
34,6,56,Moderate
34,7,56,Moderate
34,8,83,Moderate
34,9,92,Moderate
34,10,113,Unhealthy
34,11,95,Moderate
34,12,67,Moderate
34,13,61,Moderate
34,14,63,Moderate
34,15,100,Moderate
34,16,110,Unhealthy
34,17,125,Unhealthy
34,18,57,Moderate
34,19,97,Moderate
34,20,89,Moderate
34,21,95,Moderate
34,22,70,Moderate
34,23,109,Unhealthy
35,0,91,Moderate
35,1,66,Moderate
35,2,108,Unhealthy
35,3,86,Moderate
35,4,113,Unhealthy
35,5,101,Unhealthy
35,6,113,Unhealthy
35,7,82,Moderate
35,8,53,Moderate
35,9,129,Unhealthy
35,10,95,Moderate
35,11,115,Unhealthy
35,12,110,Unhealthy
35,13,54,Moderate
35,14,126,Unhealthy
35,15,123,Unhealthy
35,16,74,Moderate
35,17,116,Unhealthy
35,18,127,Unhealthy
35,19,68,Moderate
35,20,81,Moderate
35,21,83,Moderate
35,22,61,Moderate
35,23,74,Moderate
36,0,85,Moderate
36,1,51,Moderate
36,2,66,Moderate
36,3,127,Unhealthy
36,4,126,Unhealthy
36,5,97,Moderate
36,6,98,Moderate
36,7,94,Moderate
36,8,124,Unhealthy
36,9,83,Moderate
36,10,119,Unhealthy
36,11,99,Moderate
36,12,115,Unhealthy
36,13,52,Moderate
36,14,102,Unhealthy
36,15,91,Moderate
36,16,69,Moderate
36,17,57,Moderate
36,18,71,Moderate
36,19,118,Unhealthy
36,20,68,Moderate
36,21,55,Moderate
36,22,86,Moderate
36,23,79,Moderate
37,0,111,Unhealthy
37,1,109,Unhealthy
37,2,95,Moderate
37,3,71,Moderate
37,4,54,Moderate
37,5,80,Moderate
37,6,84,Moderate
37,7,68,Moderate
37,8,97,Moderate
37,9,113,Unhealthy
37,10,61,Moderate
37,11,108,Unhealthy
37,12,100,Moderate
37,13,86,Moderate
37,14,72,Moderate
37,15,125,Unhealthy
37,16,68,Moderate
37,17,110,Unhealthy
37,18,62,Moderate
37,19,107,Unhealthy
37,20,79,Moderate
37,21,123,Unhealthy
37,22,96,Moderate
37,23,71,Moderate
38,0,65,Moderate
38,1,125,Unhealthy
38,2,62,Moderate
38,3,55,Moderate
38,4,86,Moderate
38,5,74,Moderate
38,6,60,Moderate
38,7,60,Moderate
38,8,64,Moderate
38,9,80,Moderate
38,10,84,Moderate
38,11,108,Unhealthy
38,12,116,Unhealthy
38,13,126,Unhealthy
38,14,76,Moderate
38,15,128,Unhealthy
38,16,129,Unhealthy
38,17,102,Unhealthy
38,18,68,Moderate
38,19,126,Unhealthy
38,20,70,Moderate
38,21,74,Moderate
38,22,70,Moderate
38,23,96,Moderate
39,0,111,Unhealthy
39,1,77,Moderate
39,2,91,Moderate
39,3,68,Moderate
39,4,97,Moderate
39,5,64,Moderate
39,6,63,Moderate
39,7,106,Unhealthy
39,8,124,Unhealthy
39,9,91,Moderate
39,10,101,Unhealthy
39,11,82,Moderate
39,12,109,Unhealthy
39,13,95,Moderate
39,14,120,Unhealthy
39,15,98,Moderate
39,16,76,Moderate
39,17,50,Good
39,18,80,Moderate
39,19,62,Moderate
39,20,95,Moderate
39,21,96,Moderate
39,22,75,Moderate
39,23,71,Moderate
40,0,60,Moderate
40,1,86,Moderate
40,2,110,Unhealthy
40,3,117,Unhealthy
40,4,127,Unhealthy
40,5,85,Moderate
40,6,51,Moderate
40,7,115,Unhealthy
40,8,86,Moderate
40,9,117,Unhealthy
40,10,77,Moderate
40,11,110,Unhealthy
40,12,83,Moderate
40,13,69,Moderate
40,14,62,Moderate
40,15,80,Moderate
40,16,76,Moderate
40,17,74,Moderate
40,18,88,Moderate
40,19,100,Moderate
40,20,102,Unhealthy
40,21,81,Moderate
40,22,65,Moderate
40,23,72,Moderate
41,0,61,Moderate
41,1,116,Unhealthy
41,2,126,Unhealthy
41,3,123,Unhealthy
41,4,68,Moderate
41,5,68,Moderate
41,6,59,Moderate
41,7,74,Moderate
41,8,55,Moderate
41,9,85,Moderate
41,10,81,Moderate
41,11,118,Unhealthy
41,12,54,Moderate
41,13,116,Unhealthy
41,14,74,Moderate
41,15,63,Moderate
41,16,96,Moderate
41,17,95,Moderate
41,18,72,Moderate
41,19,86,Moderate
41,20,55,Moderate
41,21,52,Moderate
41,22,101,Unhealthy
41,23,116,Unhealthy
42,0,69,Moderate
42,1,75,Moderate
42,2,72,Moderate
42,3,107,Unhealthy
42,4,130,Unhealthy
42,5,119,Unhealthy
42,6,55,Moderate
42,7,77,Moderate
42,8,71,Moderate
42,9,98,Moderate
42,10,84,Moderate
42,11,109,Unhealthy
42,12,103,Unhealthy
42,13,127,Unhealthy
42,14,109,Unhealthy
42,15,99,Moderate
42,16,96,Moderate
42,17,94,Moderate
42,18,109,Unhealthy
42,19,59,Moderate
42,20,124,Unhealthy
42,21,54,Moderate
42,22,83,Moderate
42,23,105,Unhealthy
43,0,119,Unhealthy
43,1,76,Moderate
43,2,77,Moderate
43,3,123,Unhealthy
43,4,55,Moderate
43,5,99,Moderate
43,6,63,Moderate
43,7,99,Moderate
43,8,91,Moderate
43,9,106,Unhealthy
43,10,120,Unhealthy
43,11,90,Moderate
43,12,78,Moderate
43,13,106,Unhealthy
43,14,67,Moderate
43,15,100,Moderate
43,16,125,Unhealthy
43,17,97,Moderate
43,18,120,Unhealthy
43,19,130,Unhealthy
43,20,98,Moderate
43,21,129,Unhealthy
43,22,62,Moderate
43,23,87,Moderate
44,0,94,Moderate
44,1,85,Moderate
44,2,62,Moderate
44,3,118,Unhealthy
44,4,73,Moderate
44,5,111,Unhealthy
44,6,109,Unhealthy
44,7,113,Unhealthy
44,8,109,Unhealthy
44,9,59,Moderate
44,10,86,Moderate
44,11,64,Moderate
44,12,119,Unhealthy
44,13,130,Unhealthy
44,14,86,Moderate
44,15,128,Unhealthy
44,16,110,Unhealthy
44,17,129,Unhealthy
44,18,124,Unhealthy
44,19,107,Unhealthy
44,20,67,Moderate
44,21,96,Moderate
44,22,96,Moderate
44,23,84,Moderate
45,0,116,Unhealthy
45,1,72,Moderate
45,2,101,Unhealthy
45,3,82,Moderate
45,4,113,Unhealthy
45,5,127,Unhealthy
45,6,109,Unhealthy
45,7,108,Unhealthy
45,8,101,Unhealthy
45,9,51,Moderate
45,10,52,Moderate
45,11,110,Unhealthy
45,12,69,Moderate
45,13,95,Moderate
45,14,118,Unhealthy
45,15,72,Moderate
45,16,51,Moderate
45,17,103,Unhealthy
45,18,101,Unhealthy
45,19,124,Unhealthy
45,20,77,Moderate
45,21,74,Moderate
45,22,108,Unhealthy
45,23,54,Moderate
46,0,121,Unhealthy
46,1,105,Unhealthy
46,2,128,Unhealthy
46,3,94,Moderate
46,4,58,Moderate
46,5,57,Moderate
46,6,80,Moderate
46,7,121,Unhealthy
46,8,54,Moderate
46,9,110,Unhealthy
46,10,59,Moderate
46,11,67,Moderate
46,12,124,Unhealthy
46,13,130,Unhealthy
46,14,56,Moderate
46,15,119,Unhealthy
46,16,84,Moderate
46,17,117,Unhealthy
46,18,122,Unhealthy
46,19,70,Moderate
46,20,123,Unhealthy
46,21,61,Moderate
46,22,115,Unhealthy
46,23,56,Moderate
47,0,66,Moderate
47,1,60,Moderate
47,2,54,Moderate
47,3,77,Moderate
47,4,51,Moderate
47,5,51,Moderate
47,6,64,Moderate
47,7,115,Unhealthy
47,8,83,Moderate
47,9,109,Unhealthy
47,10,113,Unhealthy
47,11,60,Moderate
47,12,66,Moderate
47,13,95,Moderate
47,14,75,Moderate
47,15,85,Moderate
47,16,79,Moderate
47,17,65,Moderate
47,18,130,Unhealthy
47,19,52,Moderate
47,20,86,Moderate
47,21,97,Moderate
47,22,117,Unhealthy
47,23,53,Moderate
48,0,124,Unhealthy
48,1,62,Moderate
48,2,108,Unhealthy
48,3,108,Unhealthy
48,4,128,Unhealthy
48,5,108,Unhealthy
48,6,102,Unhealthy
48,7,128,Unhealthy
48,8,87,Moderate
48,9,101,Unhealthy
48,10,130,Unhealthy
48,11,72,Moderate
48,12,89,Moderate
48,13,54,Moderate
48,14,54,Moderate
48,15,92,Moderate
48,16,110,Unhealthy
48,17,63,Moderate
48,18,93,Moderate
48,19,114,Unhealthy
48,20,126,Unhealthy
48,21,111,Unhealthy
48,22,64,Moderate
48,23,118,Unhealthy
49,0,124,Unhealthy
49,1,94,Moderate
49,2,83,Moderate
49,3,94,Moderate
49,4,83,Moderate
49,5,106,Unhealthy
49,6,68,Moderate
49,7,130,Unhealthy
49,8,76,Moderate
49,9,79,Moderate
49,10,59,Moderate
49,11,105,Unhealthy
49,12,69,Moderate
49,13,54,Moderate
49,14,61,Moderate
49,15,102,Unhealthy
49,16,97,Moderate
49,17,69,Moderate
49,18,66,Moderate
49,19,79,Moderate
49,20,106,Unhealthy
49,21,75,Moderate
49,22,108,Unhealthy
49,23,71,Moderate
50,0,68,Moderate
50,1,59,Moderate
50,2,58,Moderate
50,3,96,Moderate
50,4,95,Moderate
50,5,118,Unhealthy
50,6,69,Moderate
50,7,120,Unhealthy
50,8,98,Moderate
50,9,83,Moderate
50,10,94,Moderate
50,11,118,Unhealthy
50,12,98,Moderate
50,13,74,Moderate
50,14,58,Moderate
50,15,104,Unhealthy
50,16,73,Moderate
50,17,111,Unhealthy
50,18,115,Unhealthy
50,19,59,Moderate
50,20,88,Moderate
50,21,56,Moderate
